GeneSymbol,T.8Nve #1,T.8Nve#2
AC005232.1,0,0
AC005234.1,0,0
AC005234.2,0,1
AC005237.1,0,5
AC005237.2,3,7
AC005244.1,0,2
AC005244.2,2,0
AC005252.1,0,0
AC005252.2,0,0
AC005252.3,0,0
AC005252.4,0,0
AC005253.1,3,1
AC005253.2,0,0
AC005255.1,0,0
AC005256.1,0,0
AC005258.1,0,0
AC005258.2,4,1
AC005261.1,140,142
AC005261.2,0,0
AC005261.3,0,0
AC005261.4,0,0
AC005261.5,25,25
AC005262.1,0,0
AC005262.2,0,0
AC005264.1,0,0
AC005274.1,0,0
AC005277.1,0,0
AC005277.2,4,0
AC005280.1,1,0
AC005280.2,0,1
AC005280.3,0,0
AC005281.1,0,0
AC005288.1,0,0
AC005291.1,0,1
AC005291.2,0,0
AC005293.1,0,0
AC005294.1,0,0
AC005296.1,0,0
AC005297.1,0,1
AC005297.2,0,0
AC005297.3,0,0
AC005300.1,12,20
AC005301.1,0,0
AC005301.2,0,0
AC005303.1,0,0
AC005304.1,0,0
AC005304.2,6,7
AC005304.3,1,0
AC005306.1,0,2
AC005307.1,0,0
AC005323.1,0,0
AC005323.2,0,0
AC005324.1,0,1
AC005324.2,0,0
AC005324.3,0,0
AC005324.4,0,0
AC005324.5,0,0
AC005324.6,0,0
AC005326.1,0,0
AC005329.1,0,0
AC005329.2,0,0
AC005329.3,0,0
AC005330.1,1,0
AC005332.1,11,12
AC005332.2,5,3
AC005332.3,9,23
AC005332.4,1,5
AC005332.5,4,31
AC005332.6,34,53
AC005332.7,0,0
AC005336.1,0,0
AC005336.2,0,0
AC005336.3,0,0
AC005339.1,0,0
AC005341.1,0,0
AC005342.1,0,0
AC005342.2,0,0
AC005343.1,9,26
AC005343.4,0,0
AC005344.1,0,0
AC005345.1,0,0
AC005351.1,0,0
AC005355.1,0,0
AC005355.2,0,0
AC005357.1,0,0
AC005357.2,0,0
AC005358.1,2,0
AC005363.1,0,0
AC005363.2,0,0
AC005377.1,0,0
AC005379.1,0,0
AC005381.1,0,0
AC005383.1,0,0
AC005387.1,0,0
AC005387.2,0,2
AC005389.1,4,0
AC005391.1,2,0
AC005392.1,0,0
AC005392.2,0,0
